Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Virat Kohli,139,131,23,4110,113,38.05,3151,130.43,4,26,359,149
2,Suresh Raina,147,143,21,4098,100,33.59,2957,138.58,1,28,360,160
3,Rohit Sharma,142,138,23,3874,109,33.68,2941,131.72,1,29,323,163
4,Gautam Gambhir,132,131,13,3634,93,30.79,2927,124.15,0,31,422,51
5,Chris Gayle,92,91,12,3426,175,43.36,2235,153.28,5,20,279,251
6,Robin Uthappa,135,130,15,3390,83,29.47,2635,128.65,0,17,341,104
7,David Warner,100,100,12,3373,109,38.32,2372,142.2,2,32,338,134
8,MS Dhoni,143,128,45,3271,70,39.4,2354,138.95,0,16,236,140
9,AB de Villiers,120,109,26,3257,133,39.24,2181,149.33,3,21,275,140
10,Shikhar Dhawan,113,112,16,3082,95,32.1,2546,121.05,0,25,348,62
11,Yusuf Pathan,134,122,32,2761,100,30.67,1881,146.78,1,12,230,140
12,Virender Sehwag,104,104,5,2728,122,27.55,1755,155.44,2,16,334,106
13,Ajinkya Rahane,95,89,13,2675,103,35.19,2212,120.93,1,23,285,51
14,Shane Watson,94,91,13,2551,104,32.7,1813,140.7,2,14,251,121
15,Dinesh Karthik,138,121,14,2542,86,23.75,2046,124.24,0,12,256,60
16,Murali Vijay,100,100,5,2511,127,26.43,2035,123.39,2,13,237,89
17,Brendon McCullum,92,92,5,2434,158,27.97,1881,129.39,2,11,248,106
18,Jacques Kallis,98,96,11,2427,89,28.55,2222,109.22,0,17,255,44
19,Yuvraj Singh,108,105,13,2335,83,25.38,1795,130.08,0,10,174,133
20,Sachin Tendulkar,78,78,11,2334,100,34.83,1948,119.81,1,13,295,29
21,Ambati Rayudu,109,102,18,2325,81,27.67,1837,126.56,0,13,198,76
22,Shaun Marsh,62,61,7,2213,115,40.98,1672,132.35,1,18,230,73
23,Rahul Dravid,89,82,5,2174,75,28.23,1882,115.51,0,11,269,28
24,Adam Gilchrist,80,80,4,2069,109,27.22,1495,138.39,2,11,239,92
25,JP Duminy,77,73,23,1993,78,39.86,1596,124.87,0,14,123,78
26,Michael Hussey,59,58,7,1977,116,38.76,1612,122.64,1,15,198,52
27,Kieron Pollard,106,97,29,1958,78,28.79,1323,147.99,0,9,131,125
28,Parthiv Patel,103,101,10,1927,81,21.17,1688,114.15,0,8,248,27
29,Dwayne Smith,64,63,3,1864,87,31.06,1411,132.1,0,15,195,92
30,Manish Pandey,89,83,13,1819,114,25.98,1536,118.42,1,7,169,52
31,Mahela Jayawardene,80,78,15,1802,110,28.6,1462,123.25,1,10,200,39
32,Kumar Sangakkara,71,68,3,1687,94,25.95,1392,121.19,0,10,195,27
33,Ravindra Jadeja,126,99,31,1574,48,23.14,1297,121.35,0,0,112,53
34,David Miller,61,60,19,1480,101,36.09,1025,144.39,1,8,100,74
35,Naman Ojha,98,88,18,1474,94,21.05,1244,118.48,0,6,119,76
36,Subramaniam Badrinath,95,67,20,1441,71,30.65,1212,118.89,0,11,154,28
37,Brad Hodge,66,63,21,1400,73,33.33,1118,125.22,0,6,122,43
38,Sourav Ganguly,59,56,3,1348,91,25.43,1262,106.81,0,7,137,42
39,Manoj Tiwary,78,68,22,1324,75,28.78,1169,113.25,0,5,121,28
40,Wriddhiman Saha,90,69,18,1323,115,25.94,1004,131.77,1,5,110,49
41,David Hussey,64,61,12,1322,71,26.97,1075,122.97,0,5,90,60
42,Aaron Finch,52,51,5,1304,88,28.34,1049,124.3,0,11,145,40
43,Francois du Plessis,51,45,3,1287,73,30.64,1005,128.05,0,8,109,38
44,Dwayne Bravo,106,83,28,1262,70,22.94,999,126.32,0,4,102,48
45,Steve Smith,54,47,13,1231,101,36.2,906,135.87,1,2,112,33
46,Saurabh Tiwary,80,63,19,1224,61,27.81,1024,119.53,0,6,84,45
47,Tillakaratne Dilshan,52,50,7,1153,76,26.81,1007,114.49,0,9,140,24
48,Irfan Pathan,102,81,29,1137,60,21.86,943,120.57,0,1,87,37
49,Matthew Hayden,32,32,2,1107,93,36.9,805,137.51,0,8,121,44
50,Sanju Samson,52,48,6,1040,76,24.76,873,119.12,0,5,80,38
51,Ross Taylor,55,54,14,1017,81,25.42,822,123.72,0,3,66,46
52,Kevin Pietersen,36,36,9,1001,103,37.07,743,134.72,1,4,91,40
53,Venugopal Rao,65,54,10,985,71,22.38,836,117.82,0,3,77,37
54,Andrew Symonds,39,36,9,974,117,36.07,750,129.86,1,5,74,41
55,Albie Morkel,91,68,28,974,73,24.35,686,141.98,0,3,61,55
56,Cameron White,47,45,9,954,78,26.5,755,126.35,0,6,76,36
57,Lendl Simmons,22,22,2,942,100,47.1,740,127.29,1,9,99,36
58,Mandeep Singh,59,49,4,924,77,20.53,743,124.36,0,4,113,14
59,Glenn Maxwell,43,43,4,918,95,23.53,568,161.61,0,6,76,56
60,Herschelle Gibbs,36,36,4,886,69,27.68,807,109.78,0,6,83,31
61,Karun Nair,41,37,4,877,83,26.57,686,127.84,0,7,96,20
62,Manvinder Bisla,39,39,1,798,92,21,702,113.67,0,4,93,23
63,Eoin Morgan,48,41,5,789,66,21.91,643,122.7,0,4,66,32
64,Mayank Agarwal,50,45,2,788,68,18.32,633,124.48,0,3,79,33
65,Harbhajan Singh,125,77,30,783,64,16.65,545,143.66,0,1,76,40
66,Sanath Jayasuriya,30,30,2,768,114,27.42,532,144.36,1,4,84,39
67,Graeme Smith,29,29,3,739,91,28.42,668,110.62,0,4,94,9
68,Manan Vohra,34,32,2,728,67,24.26,562,129.53,0,2,72,26
69,Quinton de Kock,26,26,1,726,108,29.04,549,132.24,1,5,90,21
70,Lokesh Rahul,39,30,6,725,68,30.2,577,125.64,0,4,61,24
71,Angelo Mathews,46,40,11,692,65,23.86,548,126.27,0,1,42,28
72,Moises Henriques,45,39,11,692,74,24.71,553,125.13,0,2,59,23
73,Stuart Binny,72,51,19,688,48,21.5,528,130.3,0,0,53,26
74,Tirumalasetti Suman,43,40,8,676,78,21.12,575,117.56,0,2,55,26
75,Abhishek Nayar,60,50,12,672,45,17.68,577,116.46,0,0,55,20
76,George Bailey,40,37,10,663,61,24.55,544,121.87,0,2,59,19
77,Kedar Jadhav,51,44,18,626,63,24.07,476,131.51,0,2,47,23
78,Jesse Ryder,29,29,1,604,86,21.57,458,131.87,0,4,69,19
79,Andre Russell,34,25,3,574,66,26.09,331,173.41,0,3,48,37
80,Ravi Bopara,24,22,4,531,84,29.5,453,117.21,0,3,39,16
81,Mithun Manhas,55,38,15,514,42,22.34,470,109.36,0,0,43,10
82,Piyush Chawla,123,68,27,513,24,12.51,447,114.76,0,0,49,15
83,Suryakumar Yadav,45,35,13,507,60,23.04,377,134.48,0,1,47,18
84,Owais Shah,23,22,7,506,76,33.73,389,130.07,0,4,34,23
85,Paul Valthaty,23,23,1,505,120,22.95,418,120.81,1,2,61,20
86,Shakib Al Hasan,42,31,8,497,66,21.6,381,130.44,0,2,44,15
87,James Faulkner,52,39,18,473,46,22.52,332,142.46,0,0,32,23
88,Shreyas Iyer,20,20,1,469,83,24.68,385,121.81,0,4,43,22
89,SA Asnodkar,20,20,0,423,60,21.15,339,124.77,0,2,56,10
